Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
80;12 20 23 24 26 27 28 ;-29.000000;-14;0
81;1 4 7 10 23 25 28 ;-28.888889;-20;0
82;6 10 19 22 23 24 25 26 27 28 ;-28.902439;-30;0
83;1 2 4 6 7 9 10 14 15 22 ;-29.012049;-38;0
84;3 9 10 17 21 24 25 26 ;-29.047619;-32;0
85;2 3 4 6 7 8 16 17 18 19 20 ;-29.270588;-48;0
86;1 2 3 9 14 21 23 25 27 ;-29.441860;-44;0
87;5 7 8 13 15 17 20 21 23 ;-29.517241;-36;0
88;1 7 8 10 15 17 23 25 26 ;-29.522728;-30;0
89;1 8 14 17 19 23 25 28 ;-29.483147;-26;0
90;2 5 10 22 25 ;-29.266666;-10;0
91;1 3 4 6 16 17 ;-29.076923;-12;0
92;8 9 12 13 17 23 ;-28.891304;-12;0
93;1 2 4 5 10 11 14 ;-28.731182;-14;0
94;1 2 3 4 9 16 17 20 22 ;-28.765957;-32;0
95;2 11 13 18 20 23 ;-28.652632;-18;0
96;3 6 9 17 18 20 23 24 28 ;-28.625000;-26;0
97;1 11 12 22 25 27 ;-28.432989;-10;0
98;2 3 9 17 18 24 25 28 ;-28.367348;-22;0
99;8 10 12 14 19 20 25 27 ;-28.343435;-26;0
15;5 10 20 ;-28.059999;-2;1
